Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cost Code),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Firmstep Status),Custom field (Firmstep Ticket Number),Custom field (Firmstep Ticket URL),Custom field (Flagged),Custom field (Internal Client:),Custom field (Marval Reference:),Custom field (Mendix modeler version),Custom field (Mendix module),Custom field (Product),Custom field (Rank),Custom field (Requester Name),Custom field (Savings),Custom field (Service Catalogue Description),Custom field (Service Catalogue Name),Custom field (Services),Custom field (Sharepoint URL),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Ticket Raised),Custom field (url)
PR002: CAB Approval - Communications,IDB-263,33983,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-07-11,2018-07-19,2018-07-27,2018-07-19,[PR002] CCR Update Address API - V1.0,,,0,,,,"To complete:
 * FSoC entry will be added by Platform Engineering - Proposed Monday 23rd July
 * PE to Inform Service Desk, -support entities-",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iyj,,,,,,,5. PR001 UAT & PR002 LIVE,,,,2,,
PR002: CAB Approval - Operational Setup,IDB-262,33982,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-07-11,2018-07-23,2018-07-27,2018-07-23,[PR002] CCR Update Address API - V1.0,,,0,,,,"*From Standard Change > Change process > Step 4 'Operational Setup':*

*Service Accounts*

Â API User Account for CCR Update Address API using PE SOP

User: ipaas_ccr_user

*Endpoints:*

CCR Live DB on WAP-SQL2

IPAAS_LOGGING Live DB on WAP-VSQL2

For reference: _[http://wap-jira:8090/display/IDB/Connection+Library_]

*Extensions:*

Copy from DEV for first initial deployment to PROD.Â 

Extension DPP_SP002_EMAIL_RECIPIENT to be set to - [ITAndDDigitalTeam@brighton-hove.gov.uk|mailto:ITAndDDigitalTeam@brighton-hove.gov.uk]Â 

*Schedule:*

NA - This is an APIÂ ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iyu,,,,,,,5. PR001 UAT & PR002 LIVE,,,,5,,
PR002: CAB Approval - Testing,IDB-261,33981,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-07-11,2018-07-18,2018-07-27,2018-07-18,[PR002] CCR Update Address API - V1.0,,,0,,,,"* Record UAT test plan in SharePoint
 * Release notes page in Confluence
 * Documents prepared for IG (PDF's from Confluence)

Â ",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iyi,,,,,,,5. PR001 UAT & PR002 LIVE,,,,2,,
PR002: CAB Approval - Readiness steps,IDB-260,33980,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-07-11,2018-07-24,2018-07-27,2018-07-18,[PR002] CCR Update Address API - V1.0,,,0,,,,"Describe the actions carried out by Jon Elsom (Marval Call) to:
 * Update a table to include new columns CCR
 * Create a new stored procedure for CCR
 * Run a script to populate DB Table with UPRNS

Further actions:
 * UAT complete
 * Stakeholder sign off (Mark sign-off)
 * Code review complete",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:is,,,,,,,5. PR001 UAT & PR002 LIVE,,,,2,,
PR002: CAB Approval - Information Governance Review,IDB-259,33979,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-07-11,2018-07-17,2018-07-27,2018-07-17,[PR002] CCR Update Address API - V1.0,,,0,,,,"* Plan PE involvement
 * Book IG Workshop and attend
 * Approval granted

Â ",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iyc,,,,,,,5. PR001 UAT & PR002 LIVE,,,,3,,
SP002: DPIA for the Logger,IDB-258,33978,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-07-11,2018-07-13,2018-07-27,2018-07-13,Software Development Life Cycle - V1.1,,,0,,,,"Complete a DPIA assessment for the logger.Â 

Define retention schedule for the data in the logger and flat files.Â 

Â ",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,12/Jul/18 2:03 PM;olivercurson;IPAAS - SP002 - DPIA.docx;http://wap-jira:8080/secure/attachment/12913/IPAAS+-+SP002+-+DPIA.docx,,,,,IDB-135,,,,,,,,,,,,0|hzzzqf:iw,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
Agree with IG for access to the Customer Index.,IDB-256,33976,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-07-11,2018-07-20,2018-07-27,2018-07-20,ClearCore Data Processing - V1.0,,,0,,,,"Identify a named Asset Owner for CI.

IAR entry has been created.",,christineproe,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|hzzzqf:7,,,,,,,5. PR001 UAT & PR002 LIVE,,,,8,,
Obtain DPIA for Council Tax and Benefits,IDB-255,33975,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-07-11,2018-07-24,2018-07-27,2018-07-24,ClearCore Data Processing - V1.0,,,0,,,,"* ascertain the list of DPIAs we need to obtain
 * create a standard method for adding DPIAs in the future for other datasets

Â 

Know we need at least these:
 * overarching DPIA for Clearcore
 * overarching DPIA for Boomi
 * DPIA iWorld
 * DPIA CCR",,christineproe,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-158,,,,,,,,,,,,0|hzzzqf:6,,,,,,,5. PR001 UAT & PR002 LIVE,,,,5,,
Obtain DPIA for Achieve,IDB-254,33974,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-07-11,2018-07-24,2018-07-27,2018-07-24,ClearCore Data Processing - V1.0,,,0,,,,"* ascertain the list of DPIAs we need to obtain
 * create a standard method for adding DPIAs in the future for other datasets

Â 

Know we need at least these:
 * overarching DPIA for Clearcore
 * overarching DPIA for Boomi
 * DPIA iWorld
 * DPIA CCR",,christineproe,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-158,,,,,,,,,,,,0|hzzzqf:4,,,,,,,5. PR001 UAT & PR002 LIVE,,,,5,,
SQL Demonstration of Customer Index ,IDB-253,33973,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,samwhite,samwhite,2018-07-11,2018-07-20,2018-07-27,2018-07-20,ClearCore Data Processing - V1.0,,,0,,,,Setup a connection to the Customer Index for Chissy Proe to access records.,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|hzzzqf:8,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
Connect to Synetica API on Boomi Atom using RESTLet,IDB-252,33970,,Task,Discovery,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,kieranrichards,samwhite,samwhite,2018-07-10,2018-07-27,2018-07-25,,IoT to iCasework - V1.0,,,0,Discovery,,,"Diagnose connectivity issues to the Synetica API by using Restlet on the Boomi Atom.Â 
 * Connected to Synetica

AC:
* successful connection by Restlet on the boomi server
* ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:ows,,,,,,,6. IoT Business Rules & CC I/O,,,,2,,
PR002: Create a DPIA,IDB-251,33969,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-07-10,2018-07-13,2018-07-27,2018-07-13,[PR002] CCR Update Address API - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:ir,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
PR001: Create a DPIA,IDB-250,33968,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-07-10,2018-07-13,2018-07-27,2018-07-13,[PR001] CCR Update Address - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:ii,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
Determine if viable to keep Achieve as a ClearCore data feed,IDB-245,33960,,New Feature,Deploy,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,christineproe,kieranrichards,kieranrichards,2018-07-05,2018-07-25,2018-07-23,,ClearCore Data Processing - V1.0,,,0,,,,Evaluate the data quality of the Achieve data and evaluate the information the customers would have seen when creating accounts.Â ,,kieranrichards,olivercurson,RichardAClarke,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|hzzzqe:owc,,,,,,,5. PR001 UAT & PR002 LIVE,6. IoT Business Rules & CC I/O,,,5,,
PR001: Re-schedule the process to run post ClearCore production ,IDB-244,33957,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,samwhite,samwhite,2018-06-29,2018-07-02,2018-07-27,2018-07-02,[PR001] CCR Update Address - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:k,,,,,,,4. Put CCR into Production,,,,0.5,,
Re-schedule ClearCore to run inline with delivery of REC302 files,IDB-243,33956,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-06-29,2018-07-03,2018-07-27,2018-07-03,ClearCore Data Processing - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|hzzzqf:j,,,,,,,4. Put CCR into Production,,,,0.5,,
PR002: Create a Mendix Front End for CCR Demo,IDB-241,33942,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,samwhite,samwhite,2018-06-27,2018-07-12,2018-07-27,2018-06-29,[PR002] CCR Update Address API - V1.0,,,0,,,,Robust demo front-end to update address in CCR.Â ,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzq9:3,,,,,,,4. Put CCR into Production,,,,5,,
PR001: Devise a convincing front-end demonstration ,IDB-240,33941,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,samwhite,samwhite,2018-06-27,2018-07-19,2018-07-27,2018-07-19,[PR001] CCR Update Address - V1.0,,,0,,,,"Arrange with the following people:
 * ClearCore - Chrissy Pro
 * CTAX - Charlotte Bennett

Identify UAT criteria with end user.

Identify confirmation views to show to stakeholder i.e. updated DB tables (before/after).Â 

Obtain test data or get agreement test data is sufficient.

Broadly script demonstration.Â Â 

Practice run before demo.

Book peoples time.Â ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:a,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,,,13,,
Connect to Synetica API in Test,IDB-235,33936,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-06-27,2018-06-29,2018-07-27,2018-06-28,IoT to iCasework - V1.0,,,0,,,,"We need to investigate the iCaseWork API and understand how to connect to this system using their API. This should include a clear demonstration of connection.

Â 

Resources:

*Â [iCaseworkâ€™s SDD|http://wave.brighton-hove.gov.uk/sites/BHCC/Ts_ICT/IS/DocReg/SharedDocuments/iCasework%20(CCM)/Service%20Definition%20-%20iCasework%20-%20v1.1.docx]

Reading the documentation, the APIs are part of the UsefulFeedback module:

UsefulFeedback provides a range of powerful and extensible REST style web-services that allow both update and query operations such as case creation, case updates,Â adding case notes or retrieving case details to be invoked remotely. The APIs make integrating UsefulFeedback with other business critical systems simple and straightforward.

[https://icasework.atlassian.net/wiki/spaces/UsefulFeedback/pages/15171599/iCasework+REST+APIs]Â 

It looks like the test site urls are in the format [https://uat.icasework.com/createaction?db=[youriCaseworkAccount|https://uat.icasework.com/createaction?db=%5byouriCaseworkAccount]]

Live site is atÂ bhcc.icasework.com

A number of service users have access to the support portal + Matt Skelton.

Users are listed [here|http://wave.brighton-hove.gov.uk/sites/BHCC/xd/iC/Shared%20Documents/Forms/AllItems.aspx]

Connected successfully and receive sufficient return from API.Â Â ",,samwhite,,,,,,,,,,,,,,,,IDB-230,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzpo:,,,,,,,4. Put CCR into Production,,,,8,,
