Summary,Issue key,Issue Type,Status,Created,Updated,Last Viewed,Resolved,Custom field (Story Points)
Build the Boomi Process.,IDB-114,Task,Done,2018-05-18,2018-05-23,2018-07-27,2018-05-23,8
Breakdown and plan for Boomi process.,IDB-113,Task,Done,2018-05-18,2018-05-21,2018-07-27,2018-05-21,5
Formalise address format in CCR database - UPRN etc. Add UPRN's to CCR address database match and insert.,IDB-111,Task,Done,2018-05-18,2018-05-18,2018-07-27,2018-05-18,5
Analyse exsititing CCR client address quality in TEST. Match address with UPRN to LLPG.,IDB-110,Task,Done,2018-05-18,2018-05-18,2018-07-27,2018-05-18,5
Create test data.,IDB-106,Task,Done,2018-05-18,2018-05-23,2018-07-27,2018-05-23,8
Gather and collate baseline metrics,IDB-105,New Feature,Done,2018-05-18,2018-06-26,2018-07-27,2018-06-19,8
Understand ClearCore 'Poll for change' report.,IDB-104,Task,Done,2018-05-18,2018-05-21,2018-07-27,2018-05-21,2
Pickup changes from ClearCore - consume ClearCore CSV or SQL.,IDB-103,Task,Done,2018-05-18,2018-05-22,2018-07-27,2018-05-22,2
Understand business processes for CCR,IDB-102,Task,Done,2018-05-17,2018-05-23,2018-07-27,2018-05-23,2
"Architectural understanding of systems (ClearCore, CCR & Mendix)",IDB-101,Task,Done,2018-05-17,2018-05-21,2018-07-27,2018-05-21,2
